puzzle_id,active_time,n_attempts,n_actions,p_incorrect,n_complete,order,z_active_time,z_n_actions,z_p_incorrect,z_all_measures,norm_all_measures
One Cube,0.4681818181818182,0.9090909090909091,0.9090909090909091,0.0,10,1.0,-0.9410434376332609,-1.3018676866067622,-1.1590903555655392,-3.4020014798055622,0.0
Separated Cubes,0.7879999999999999,1.3,4.5,12.962962962962964,10,2.0,-0.8596359525671087,-1.1274657291324606,-0.6354653823733425,-2.6225670640729115,0.07860559787727515
Rotate a Pyramid,9.471,2.7,43.1,37.42424242424243,10,3.0,1.3505610687869007,0.7472449327305397,0.3526217423646599,2.4504277438821007,0.5902147619822313
Match Silhouettes,15.850833333333332,1.1666666666666667,11.25,16.666666666666668,10,4.0,2.9745030968956594,-0.7996342014750707,-0.485858247175572,1.689010648245017,0.5134262024466967
Removing Objects,1.2033333333333334,1.2222222222222223,4.222222222222222,16.666666666666668,9,5.0,-0.7539157526129032,-1.1409567385010775,-0.485858247175572,-2.380730738289553,0.10299467871966485
Stretch a Ramp,1.4533333333333331,1.7777777777777777,11.0,30.555555555555557,9,6.0,-0.6902799982263431,-0.8117761099068258,0.07516850981606725,-1.4268875983171017,0.19918931522181993
Max 2 Cubes,1.5177777777777774,1.5555555555555556,9.666666666666666,27.77777777777778,8,7.0,-0.6738761148733632,-0.8765329548761868,-0.037036841582260636,-1.5874459113318105,0.18299708411944474
Stack 2 Ramps,1.7122222222222223,0.8888888888888888,22.11111111111111,0.0,8,8.0,-0.6243816392393717,-0.27213573516215106,-1.1590903555655392,-2.055607729967062,0.13578318271307033
Scaling Round Objects,4.75375,2.0,51.875,43.75,7,9.0,0.1498180192668961,1.1734259186851466,0.6081439289581245,1.9313878669101672,0.5378698320843442
Square Cross-Sections,3.7800000000000002,1.3333333333333333,25.77777777777778,15.625,8,10.0,-0.09804324406875589,-0.09405441149640832,-0.527935253949945,-0.7200329095151092,0.2704752814354213
Bird Fez,3.37,1.625,45.125,27.083333333333336,8,11.0,-0.2024058812627147,0.8455943910277566,-0.06508817943184253,0.5781003303331993,0.40139141418884194
Pi Henge,1.7833333333333334,0.8888888888888888,19.11111111111111,7.142857142857143,7,12.0,-0.6062808024360835,-0.4178386363432133,-0.8705623091126962,-1.8946817478919928,0.1520124930689751
45-Degree Rotations,2.75,1.375,34.125,2.083333333333334,9,13.0,-0.36022255214138404,0.3113504200305286,-1.0749363420167934,-1.1238084741276488,0.22975470376530516
Pyramids are Strange,7.8244444444444445,1.6666666666666667,49.22222222222222,42.38095238095239,6,14.0,0.9314418491182627,1.0445867792148553,0.5528427200546632,2.528871348387781,0.5981257629687884
Cubes Obscure Spheres,7.3725,1.5,37.25,34.523809523809526,6,15.0,0.8164025464661142,0.46312427542746837,0.23546186895653562,1.5149886908501182,0.4958761690780242
Shape Limits,2.451428571428571,2.0,25.0,55.555555555555564,6,16.0,-0.4362218245230475,-0.1318292377285356,1.0850166724010182,0.5169656101494351,0.39522600612614095
Not Bird,4.026666666666667,1.8333333333333333,41.666666666666664,60.0,3,17.0,-0.03525596640734972,0.6776313243884765,1.2645452346383423,1.906920592619469,0.5354023188654934
Angled Silhouette,2.938333333333333,1.3333333333333333,42.0,15.0,5,18.0,-0.31228361717017544,0.6938205356308168,-0.5531814580145687,-0.1716445395539274,0.32577999318493267
Design a Puzzle,9.155000000000001,0.625,76.375,100.0,0,19.0,1.270125475242289,2.3633329449971545,2.8803022947742636,6.5137607150137065,1.0
Sandbox,0.6333333333333333,0.0,0.0,,0,,-0.8990052726142606,-1.346020080904054,,-2.2450253535183142,0.11668050358163473
